analysis_dir,mode,k,scope,n_spots,n_clusters_observed,asw_sampled,asw_scaled_0_1,asw_sample_size,dbi_full,calinski_harabasz_full
clustering_analysis_k8_10_15,independent,10,CRC_003,166279,10,0.0214681159704923,0.5107340579852462,10000,4.466012942113095,3347.630291972236
clustering_analysis_k8_10_15,independent,10,CRC_006,446095,10,0.0369034186005592,0.5184517093002796,10000,4.071007404205984,10380.645936071482
clustering_analysis_k8_10_15,independent,15,CRC_003,166279,15,0.022836422547698,0.511418211273849,10000,4.227228741377726,2602.7859009947
clustering_analysis_k8_10_15,independent,15,CRC_006,446095,15,0.0354281440377235,0.5177140720188618,10000,3.994764124551877,8051.056223824926
clustering_analysis_k8_10_15,independent,8,CRC_003,166279,8,0.0280845127999782,0.5140422563999891,10000,4.535512603137711,4009.301988305048
clustering_analysis_k8_10_15,independent,8,CRC_006,446095,8,0.0440260432660579,0.522013021633029,10000,3.6850886332469095,12370.907724787958
clustering_analysis_k8_10_15,joint,10,CRC_003,166279,10,0.0361688509583473,0.5180844254791737,10000,4.216847430611662,2955.068234859554
clustering_analysis_k8_10_15,joint,10,CRC_006,446095,10,0.0354319140315055,0.5177159570157528,10000,4.077857314933608,10353.0234902196
clustering_analysis_k8_10_15,joint,10,combined,612374,10,0.0367334298789501,0.5183667149394751,10000,4.135171618552603,13485.855124895475
clustering_analysis_k8_10_15,joint,15,CRC_003,166279,15,0.0269063562154769,0.5134531781077385,10000,3.9786462771917663,2316.209879183272
clustering_analysis_k8_10_15,joint,15,CRC_006,446095,15,0.0373568050563335,0.5186784025281668,10000,3.832627438482959,8103.31769005569
clustering_analysis_k8_10_15,joint,15,combined,612374,15,0.0339906252920627,0.5169953126460314,10000,3.872721029194047,10423.00254456794
clustering_analysis_k8_10_15,joint,8,CRC_003,166279,8,0.0340099446475505,0.5170049723237753,10000,4.346602190609248,3613.08255355359
clustering_analysis_k8_10_15,joint,8,CRC_006,446095,8,0.0424306727945804,0.5212153363972902,10000,3.92537032214181,12088.1284366789
clustering_analysis_k8_10_15,joint,8,combined,612374,8,0.0407855510711669,0.5203927755355835,10000,3.9999419606161393,15851.721591092504
