analysis_dir,mode,k,scope,n_spots,n_clusters_observed,asw_sampled,asw_scaled_0_1,asw_sample_size,dbi_full,calinski_harabasz_full
clustering_analysis_k8_10_15,independent,10,CRC_003,166279,10,0.02314530685544014,0.5115726534277201,10000,4.503801739034431,3448.09121796355
clustering_analysis_k8_10_15,independent,10,CRC_006,446095,10,0.03922174125909805,0.519610870629549,10000,3.8733771355312476,10568.96095439466
clustering_analysis_k8_10_15,independent,15,CRC_003,166279,15,0.021386977285146713,0.5106934886425734,10000,4.312507063283637,2597.573009822822
clustering_analysis_k8_10_15,independent,15,CRC_006,446095,15,0.036369286477565765,0.5181846432387829,10000,4.0766191647560115,7962.980483584814
clustering_analysis_k8_10_15,independent,8,CRC_003,166279,8,0.026295658200979233,0.5131478291004896,10000,4.544911052679584,4055.9153656782223
clustering_analysis_k8_10_15,independent,8,CRC_006,446095,8,0.031830545514822006,0.515915272757411,10000,4.33010117398903,11260.351412489785
clustering_analysis_k8_10_15,joint,10,CRC_003,166279,10,0.02975863590836525,0.5148793179541826,10000,4.441433596951095,2971.5453758600024
clustering_analysis_k8_10_15,joint,10,CRC_006,446095,10,0.04168703779578209,0.520843518897891,10000,3.732720636588662,10781.543716726916
clustering_analysis_k8_10_15,joint,10,combined,612374,10,0.03940330073237419,0.5197016503661871,10000,3.9331852595111108,13823.471302304659
clustering_analysis_k8_10_15,joint,15,CRC_003,166279,15,0.02205209620296955,0.5110260481014848,10000,4.190816784066464,2296.261924185498
clustering_analysis_k8_10_15,joint,15,CRC_006,446095,15,0.03429913520812988,0.5171495676040649,10000,3.9509671139194555,7996.73698502089
clustering_analysis_k8_10_15,joint,15,combined,612374,15,0.03038729541003704,0.5151936477050185,10000,3.978500514735152,10353.679916083063
clustering_analysis_k8_10_15,joint,8,CRC_003,166279,8,0.02699923701584339,0.5134996185079217,10000,4.733266993269158,3497.7356196001706
clustering_analysis_k8_10_15,joint,8,CRC_006,446095,8,0.033618900924921036,0.5168094504624605,10000,3.9224110391013216,11535.454916242215
clustering_analysis_k8_10_15,joint,8,combined,612374,8,0.03237314894795418,0.5161865744739771,10000,4.1653782899997225,15144.16366170266
