section,cluster,count,fraction
dataset4,0,58,0.04592240696753761
dataset4,1,88,0.06967537608867776
dataset4,2,94,0.07442596991290577
dataset4,3,53,0.04196357878068092
dataset4,4,102,0.08076009501187649
dataset4,5,71,0.056215360253365
dataset4,6,35,0.027711797307996833
dataset4,7,91,0.07205067300079177
dataset4,8,68,0.053840063341250986
dataset4,9,125,0.09897070467141726
dataset4,10,68,0.053840063341250986
dataset4,11,82,0.06492478226444973
dataset4,12,38,0.030087094220110848
dataset4,13,62,0.04908946951702296
dataset4,14,97,0.0768012668250198
dataset4,15,131,0.10372129849564529
dataset3,0,103,0.057962858750703436
dataset3,1,82,0.04614518851997749
dataset3,2,122,0.0686550365785031
dataset3,3,174,0.09791783905458638
dataset3,4,54,0.030388294879009566
dataset3,5,160,0.09003939223410241
dataset3,6,161,0.09060213843556555
dataset3,7,103,0.057962858750703436
dataset3,8,38,0.021384355655599326
dataset3,9,144,0.08103545301069218
dataset3,10,147,0.0827236916150816
dataset3,11,168,0.09454136184580754
dataset3,12,144,0.08103545301069218
dataset3,13,82,0.04614518851997749
dataset3,14,53,0.029825548677546426
dataset3,15,42,0.023635340461451885
dataset2,0,137,0.07029245767060031
dataset2,1,221,0.11339148281169831
dataset2,2,65,0.033350436121087734
dataset2,3,65,0.033350436121087734
dataset2,4,440,0.22575679835813237
dataset2,5,56,0.028732683427398667
dataset2,6,194,0.09953822473063109
dataset2,7,97,0.049769112365315546
dataset2,8,191,0.09799897383273473
dataset2,9,66,0.03386351975371986
dataset2,10,57,0.029245767060030785
dataset2,11,47,0.024114930733709596
dataset2,12,36,0.018471010774756286
dataset2,13,53,0.02719343252950231
dataset2,14,86,0.044125192406362236
dataset2,15,138,0.07080554130323242
dataset1,0,92,0.04321277595115078
dataset1,1,102,0.04790981681540629
dataset1,2,62,0.02912165335838422
dataset1,3,176,0.08266791921089714
dataset1,4,192,0.09018318459370596
dataset1,5,258,0.12118365429779239
dataset1,6,140,0.06575857209957726
dataset1,7,161,0.07562235791451385
dataset1,8,123,0.05777360263034288
dataset1,9,153,0.07186472522310944
dataset1,10,58,0.02724283701268201
dataset1,11,54,0.025364020666979802
dataset1,12,126,0.05918271488961954
dataset1,13,89,0.04180366369187412
dataset1,14,172,0.08078910286519493
dataset1,15,171,0.08031939877876937
