gene_symbol_original,count,make_unique_names
4930594M22Rik,2,4930594M22Rik;4930594M22Rik-1
Aldoa,2,Aldoa;Aldoa-1
Arhgef4,2,Arhgef4;Arhgef4-1
Btbd35f1,2,Btbd35f1;Btbd35f1-1
C730027H18Rik,2,C730027H18Rik;C730027H18Rik-1
Ccl19,2,Ccl19;Ccl19-1
Ccl21a,2,Ccl21a;Ccl21a-1
Ccl21b,2,Ccl21b;Ccl21b-1
Ccl21c,2,Ccl21c;Ccl21c-1
Ccl27a,3,Ccl27a;Ccl27a-1;Ccl27a-2
Ddit3,2,Ddit3;Ddit3-1
Dpep2,2,Dpep2;Dpep2-1
Fam205a4,2,Fam205a4;Fam205a4-1
Fam220a,2,Fam220a;Fam220a-1
Fam90a1b,2,Fam90a1b;Fam90a1b-1
Gm16364,2,Gm16364;Gm16364-1
Gm16499,2,Gm16499;Gm16499-1
Gm16701,2,Gm16701;Gm16701-1
Gm28710,2,Gm28710;Gm28710-1
Gm3286,2,Gm3286;Gm3286-1
Gm35438,2,Gm35438;Gm35438-1
Gm35558,2,Gm35558;Gm35558-1
Gm38619,2,Gm38619;Gm38619-1
Gm41392,2,Gm41392;Gm41392-1
Gm5089,2,Gm5089;Gm5089-1
Ighv1-13,2,Ighv1-13;Ighv1-13-1
Ighv5-8,2,Ighv5-8;Ighv5-8-1
Il11ra2,3,Il11ra2;Il11ra2-1;Il11ra2-2
Jakmip1,2,Jakmip1;Jakmip1-1
Nnt,2,Nnt;Nnt-1
Olfr290,2,Olfr290;Olfr290-1
Pakap,2,Pakap;Pakap-1
Pcdha11,2,Pcdha11;Pcdha11-1
Ptp4a1,2,Ptp4a1;Ptp4a1-1
Sept2,2,Sept2;Sept2-1
Snhg4,2,Snhg4;Snhg4-1
St6galnac2,2,St6galnac2;St6galnac2-1
Zc3h11a,2,Zc3h11a;Zc3h11a-1
